               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024811,            0.010362,            0.026342,              0.9922,             0.99404,             0.99346,             0.84668,           0.0094243,            0.002771,          0.00057623,             0.00307,             0.00307,             0.00307
                  37,            0.024647,            0.010285,            0.026182,             0.99277,             0.99531,             0.99337,             0.84866,           0.0093485,           0.0027255,          0.00050414,            0.002872,            0.002872,            0.002872
                  38,            0.024126,            0.010179,            0.025778,             0.99391,             0.99464,             0.99303,             0.85464,            0.009233,           0.0026725,          0.00045004,            0.002674,            0.002674,            0.002674
                  39,            0.024167,             0.01014,            0.025653,             0.99383,             0.99504,             0.99312,             0.85264,           0.0091909,           0.0026498,          0.00046492,            0.002476,            0.002476,            0.002476
                  40,            0.023567,           0.0099249,            0.024941,             0.99401,             0.99439,             0.99253,             0.85276,           0.0092179,           0.0026429,          0.00043274,            0.002278,            0.002278,            0.002278
                  41,            0.023405,           0.0099415,             0.02421,              0.9944,             0.99463,             0.99338,             0.85214,           0.0091632,           0.0026068,          0.00036686,             0.00208,             0.00208,             0.00208
                  42,            0.023127,           0.0098738,             0.02441,             0.99488,             0.99457,             0.99333,             0.85734,           0.0090048,           0.0025779,          0.00035364,            0.001882,            0.001882,            0.001882
                  43,            0.022661,           0.0097899,            0.023509,             0.99418,             0.99388,             0.99326,             0.85822,           0.0089411,           0.0025631,          0.00035685,            0.001684,            0.001684,            0.001684
                  44,            0.022493,           0.0096646,            0.023512,             0.99406,             0.99437,             0.99326,             0.85792,           0.0089836,           0.0025638,          0.00035716,            0.001486,            0.001486,            0.001486
                  45,            0.022218,           0.0095724,            0.023298,             0.99421,             0.99546,             0.99333,             0.85772,           0.0089644,           0.0025481,          0.00030972,            0.001288,            0.001288,            0.001288
                  46,            0.022305,            0.009493,            0.023244,             0.99415,              0.9949,             0.99322,             0.86047,           0.0088644,           0.0025365,          0.00030517,             0.00109,             0.00109,             0.00109
                  47,            0.021806,           0.0095214,            0.022846,             0.99411,             0.99481,             0.99302,             0.86264,            0.008812,           0.0025291,          0.00028993,            0.000892,            0.000892,            0.000892
                  48,            0.021467,           0.0093251,            0.022143,             0.99443,             0.99483,             0.99295,             0.86236,            0.008743,             0.00252,          0.00028446,            0.000694,            0.000694,            0.000694
                  49,            0.021144,           0.0093561,            0.021726,              0.9945,             0.99506,             0.99295,             0.86353,           0.0087647,           0.0025145,          0.00026428,            0.000496,            0.000496,            0.000496
